PERSON_ID,ON_NET,OFF_NET,WOWY_NET
201145,-0.96875,0.3505747126436782,-1.3193247126436782
203500,1.3473684210526315,0.24755455229495862,1.0998138687576728
1627832,1.25,0.24468085106382978,1.0053191489361701
1628415,0.11805555555555555,0.34375,-0.22569444444444445
1628988,0.5972222222222222,0.3062130177514793,0.2910092044707429
1629098,-0.8,0.324876673713883,-1.1248766737138831
1629111,-1.302325581395349,0.3714699493120927,-1.6737955307074417
1630224,0.16149068322981366,0.3412509897070467,-0.17976030647723304
1630256,0.6710526315789473,0.30118694362017806,0.3698656879587693
1630578,1.0838323353293413,0.21957040572792363,0.8642619296014177
1631095,0.5416666666666666,0.3049698795180723,0.23669678714859432
1631106,-0.6,0.40183346065699005,-1.00183346065699
1631223,-5.5,0.3373239436619718,-5.837323943661972
1631466,-2.2,0.34776437189496096,-2.547764371894961
1641708,0.9622641509433962,0.24031620553359684,0.7219479454097995
1641715,-0.1896551724137931,0.34260614934114203,-0.5322613217549351
1642263,-1.2615384615384615,0.39661515820456217,-1.6581536197430236
1642368,-2.3333333333333335,0.33780918727915193,-2.6711425206124852
