License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402R-00652,TREES COLORADO LLC,Trees,Retail Marijuana Store,5005 South Federal Boulevard,Englewood,80110,2025-05-01
402R-00145,TRI-CITY PARTNERS LLC,Strawberry Fields,Retail Marijuana Store,909 County Road 308,Dumont,80436,2025-05-01
402R-00271,TRINIDADS HIGHER CALLING U LLC,None,Retail Marijuana Store,1000 Independence Road,Trinidad,81082,2025-05-01
402R-01097,TROY ENTERPRISES LLC,Elevations,Retail Marijuana Store,8270 Razorback Road,Colorado Springs,80920,2025-05-01
402R-00467,TUMBLEWEED CARBONDALE LLC,Tumbleweed Carbondale,Retail Marijuana Store,304 Highway 133,Carbondale,81623,2025-05-01
402R-00876,TUMBLEWEED CRAIG LLC,None,Retail Marijuana Store,316 West Victory Way,Craig,81625,2025-05-01
402R-00704,TUMBLEWEED DE BEQUE LLC,Tumbleweed De Beque ,Retail Marijuana Store,2185 45 1/2 Road Suite 102,De Beque,81630,2025-05-01
402R-00865,TUMBLEWEED EAGLE LLC,None,Retail Marijuana Store,12 Eagle Park Drive,Eagle,81631,2025-05-01
402R-00124,TUMBLEWEED FRISCO LLC,Tumbleweed Frisco,Retail Marijuana Store,"842 North Summit Boulevard, Unit 13",Frisco,80443,2025-05-01
402R-00136,TUMBLEWEED STEAMBOAT LLC,RK Enterprises,Retail Marijuana Store,2093 Curve Plaza Unit C-103 ,Steamboat Springs,80487,2025-05-01
402R-00095,TZ FINANCIAL LLC,High Country Healing,Retail Marijuana Store,"191 Blue River Parkway, Suite 202,",Silverthorne,80498,2025-05-01
402R-00405,VAIL BUD BREWERY LLC,High Country Healing 8,Retail Marijuana Store,"40801 US Highway 6, Suite 5",Avon,81620,2025-05-01
402R-01019,VALLEY HIGH LLC,Valley High Hotchkiss,Retail Marijuana Store,110 Pinion Drive,Hotchkiss,81419,2025-05-01
402R-00934,VALLEY HIGH LLC,Valley High Hotchkiss,Retail Marijuana Store,512 2nd Street,Paonia,81428,2025-05-01
402R-00223,VENDING BY A & A LLC,Nature's of Sedgwick,Retail Marijuana Store,107 Main Avenue,Sedgwick,80749,2025-05-01
402R-01044,VERTS GRAND LAKE LLC,Verts Neighborhood Dispensary,Retail Marijuana Store,525 Grand Avenue,Grand Lake,80447,2025-05-01
402R-00545,VERTS LLC,Verts Neighborhood Dispensary,Retail Marijuana Store,"1240 West Elizabeth Street, Unit A, B, C, & D",Fort Collins,80521,2025-05-01
402R-00483,VILLAGE RETAIL LLC,Blue Heron Dispensary,Retail Marijuana Store,"100 West Main Street, Unit A",Oak Creek,80467,2025-05-01
402R-00725,VIRTUAL MARKETING LLC,Maggie's Farm,Retail Marijuana Store,4803 North Interstate 25,Pueblo,81008,2025-05-01
402R-01087,WELLNESS CENTER OF COLORADO,Flavors,Retail Marijuana Store,2755 Ore Mill Road,Colorado Springs,80904,2025-05-01
402R-00399,WELLNESS CENTER OF THE ROCKIES INC,The Center,Retail Marijuana Store,600 South Broadway,Denver,80209,2025-05-01
402R-01081,WELLNESS CENTERS OF COLORADO LLC,Emj's,Retail Marijuana Store,2918 Wood Avenue,Colorado Springs,80907,2025-05-01
402R-01029,WESTERN COLORADO MARIJUANA LLC,THE GARAGE,Retail Marijuana Store,545 Colorado Avenue ,Grand Junction,81501,2025-05-01
402R-01055,WESTERN CONSOLIDATED LLC ,Galaxy Greens,Retail Marijuana Store,"125 West Bridge Street, Unit D",Brighton,80601,2025-05-01
402R-00749,WHISPER CONSULTING GROUP LLC,Elevated,Retail Marijuana Store,9800 North 119th Street,Longmont,80501,2025-05-01
402R-00770,WILD WEED LLC,Wild Wild Weed,Retail Marijuana Store,450 East 1st Street,Ordway,81063,2025-05-01
402R-00359,WILDFLOWER DISPENSARY INC,None,Retail Marijuana Store,148 East Assembly Drive,Pueblo West,81007,2025-05-01
402R-01023,WILDFLOWERS DISPENSARY INC,None,Retail Marijuana Store,5555 Dahlia Street Unit 1100,Commerce City,80022,2025-05-01
402R-00837,WLCO LLC,THE REPUBLIC,Retail Marijuana Store,8401 Baseline Road,Boulder,80303,2025-05-01
402R-00952,YBARK LLC,Sunnyside Gardens,Retail Marijuana Store,2885 West 44th Avenue,Denver,80211,2025-05-01
402R-00925,YUMA SE LLC,Morrison Gardens,Retail Marijuana Store,"4440 Morrison Road, Unit 103",Denver,80219,2025-05-01
402R-00906,YUMA UNIQUE LLC,Park Hill Gardens,Retail Marijuana Store,6901 East Colfax Avenue,Denver,80210,2025-05-01
402R-00808,YUMA WAY LLC,Berkeley Dispensary,Retail Marijuana Store,5398 Sheridan Boulevard,Arvada,80002,2025-05-01
402R-00942,YUMA WAY LLC,Stadium Gardens,Retail Marijuana Store,5441 Quebec Street,Commerce City,80022,2025-05-01
402R-00836,YUMA WAY LLC,Canna City ,Retail Marijuana Store,7150 Highway 85 ,Commerce City,80022,2025-05-01
402R-00613,YUMA WAY LLC,1136 Yuma,Retail Marijuana Store,1136 North Yuma Court,Denver,80204,2025-05-01
402R-00055,YUMA WAY LLC,Lowell Gardens,Retail Marijuana Store,3615 West 49th Avenue,Denver,80221,2025-05-01
402R-00460,YUMA WAY LLC,Cherry Peak,Retail Marijuana Store,4601 East Mississippi Avenue,Glendale,80246,2025-05-01
402R-00730,YUMA WAY LLC,Twin Peaks Dispensary,Retail Marijuana Store,"900 South Hover Street, Unit A",Longmont,80501,2025-05-01
402R-01113,ZIPZ LLC,Zipz,Retail Marijuana Store,3745 Interpark Drive,Colorado Springs,80907,2025-05-01
402R-01020,ZUMA B LLC,The Buzz GJ,Retail Marijuana Store,1022 North 3rd Street,Grand Junction,81501,2025-05-01
402R-00879,ZZB INC,Doctor's Orders,Retail Marijuana Store,3321 South Interstate 25,Pueblo,81004,2025-05-01
402R-01053,ZZB INC,Doctor's Orders,Retail Marijuana Store,749 East Enterprise Drive,Pueblo,81007,2025-05-01
