License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402R-00416,RJJ LONGMONT LLC,Native Roots Longmont,Retail Marijuana Store,19 South Sunset Street,Longmont,80501,2025-05-01
402R-00049,RJJ MORRISON II LLC,Native Roots Colorado Blvd,Retail Marijuana Store,1155 South Colorado Boulevard,Denver,80246,2025-05-01
402R-00484,RJJ SANTA FE LLC,Native Roots Santa Fe,Retail Marijuana Store,"2645 South Santa Fe Drive, Units D & E",Denver,80223,2025-05-01
402R-00380,RJJ SHERIDAN LLC,Native Roots Littleton,Retail Marijuana Store,7870 West Quincy Avenue,Denver,80123,2025-05-01
402R-01076,RJJ TEJON LLC,Native Roots Tejon,Retail Marijuana Store,1433 South Tejon Street,Colorado Springs,80905,2025-05-01
402R-00696,RJJ TOWER LLC,Native Roots Denver Airport,Retail Marijuana Store,7050 North Tower Road,Denver,80249,2025-05-01
402R-00617,RJJ TRINIDAD LLC,Native Roots Trinidad,Retail Marijuana Store,3140 Santa Fe Trail,Trinidad,81082,2025-05-01
402R-01078,RJJ UINTAH LLC,Native Roots Uintah,Retail Marijuana Store,1705 West Uintah Street,Colorado Springs,80904,2025-05-01
402R-00671,RJL ASSET MANAGEMENT LLC,The Spot 420,Retail Marijuana Store,3504 North Elizabeth Street,Pueblo,81008,2025-05-01
402R-00157,RJL ASSET MANAGEMENT LLC,The Spot,Retail Marijuana Store,748 East Industrial Boulevard,Pueblo West,81007,2025-05-01
402R-00519,RME GROUP LLC,AFFINITY,Retail Marijuana Store,7739 East Colfax Avenue,Denver,80220,2025-05-01
402R-00755,ROCKY FARMS LLC,Rocky Farms,Retail Marijuana Store,1709 Swink Avenue,Rocky Ford,81067,2025-05-01
402R-00270,ROCKY MOUNTAIN BLISS INC,Rocky Mountain Cannabis,Retail Marijuana Store,153 US Highway 550  Unit 102 ,Ridgway,81432,2025-05-01
402R-00226,ROCKY ROAD REMEDIES LLC,Rocky Road Vail,Retail Marijuana Store,40928 US Highway 6  Unit 2B,Avon,81620,2025-05-01
402R-00633,ROCKY ROAD REMEDIES LLC,Rocky Road Thornton,Retail Marijuana Store,"3901 East 112th Avenue, Unit G",Thornton,80233,2025-05-01
402R-00839,ROCKYS BEST LLC,The Station,Retail Marijuana Store,1701 Elm Avenue,Rocky Ford,81067,2025-05-01
402R-01004,ROOTS MANAGEMENT LLC,BAHAMA MAMA CRAFT CANNABIS,Retail Marijuana Store,3000 Folsom Street,Boulder,80304,2025-05-01
402R-00307,RRAW LLC,Rocky Road Aurora,Retail Marijuana Store,1712 South Chambers Road,Aurora,80017,2025-05-01
402R-00622,SACRED VALLEY FARMACY LLC,Primo,Retail Marijuana Store,34132 Highway 285,Villa Grove,81155,2025-05-01
402R-00241,SALIDACO LLC,Natures Medicine,Retail Marijuana Store,7595 West Highway 50,Salida,81201,2025-05-01
402R-00538,SAN JUAN STRAINS INC,None,Retail Marijuana Store,827 North Main Street,Gunnison,81230,2025-05-01
402R-00542,SAN JUAN STRAINS INC,None,Retail Marijuana Store,"356 East Pagosa Street, Unit B",Pagosa Springs,81147,2025-05-01
402R-00267,SBUD LLC,Star Buds,Retail Marijuana Store,10100 East Montview Boulevard,Aurora,80010,2025-05-01
402R-00316,SBUD LLC,Star Buds,Retail Marijuana Store,"14655 East Arapahoe Road, Unit B",Aurora,80016,2025-05-01
402R-00577,SBUD LLC,Star Buds,Retail Marijuana Store,5844 Dahlia Street,Commerce City,80022,2025-05-01
402R-00022,SBUD LLC,Star Buds,Retail Marijuana Store,1640 East Evans Avenue,Denver,80210,2025-05-01
402R-00021,SBUD LLC,Star Buds,Retail Marijuana Store,4690 North Brighton Boulevard,Denver,80216,2025-05-01
402R-00446,SBUD LLC,Star Buds,Retail Marijuana Store,1451 Cortez Street Unit A,Denver,80221,2025-05-01
402R-00691,SBUD LLC,Star Buds,Retail Marijuana Store,"9000 Federal Boulevard, Unit B",Federal Heights,80260,2025-05-01
402R-00708,SBUD LLC,Star Buds,Retail Marijuana Store,7521 Ute Highway,Longmont,80503,2025-05-01
402R-00214,SBUD LLC,Star Buds,Retail Marijuana Store,"1156 West Dillon Road, Unit 3",Louisville,80027,2025-05-01
402R-00818,SBUD LLC,Star Buds,Retail Marijuana Store,5238 West 44th Avenue,Mountain View,80212,2025-05-01
402R-00701,SBUD LLC,Star Buds,Retail Marijuana Store,6924 North 79th Street,Niwot,80503,2025-05-01
402R-00410,SBUD LLC,Star Buds,Retail Marijuana Store,4305 Thatcher Avenue,Pueblo,81005,2025-05-01
402R-00177,SBUD LLC,Star Buds,Retail Marijuana Store,"428 South McCulloch Boulevard, Building A",Pueblo West,81007,2025-05-01
402R-00668,SEVEN-ONE-NINE LLC,RISE DISPENSARY,Retail Marijuana Store,3003 West Northern Avenue,Pueblo,81005,2025-05-01
402R-00737,SF BOUTIQUE LLC,Lucy Sky Cannabis Boutique,Retail Marijuana Store,4301 South Santa Fe Drive,Sheridan,80110,2025-05-01
402R-00251,SHERIDAN BOULEVARD RETAIL LLC,None,Retail Marijuana Store,734 North Sheridan Boulevard,Denver,80214,2025-05-01
402R-00498,SHRED INVESTMENTS LLC,High West Cannabis,Retail Marijuana Store,"10625 East 51st Avenue, Unit 100",Denver,80239,2025-05-01
402R-00605,SILVER LAKE HOLDINGS LLC,Rooted,Retail Marijuana Store,110 Santa Fe Trail,Trinidad,81082,2025-05-01
402R-00140,SILVERPEAK CORP,Silverpeak,Retail Marijuana Store,"520 East Cooper Avenue, Units LL2 & LL3",Aspen,81611,2025-05-01
