License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00566,GREEN CREEK HOLDINGS INC,None,Retail Marijuana Products Mfg,3373 South Interstate 25,Pueblo,81004,2025-05-01
404R-00017,GREEN CROSS COLORADO LLC,The Tumbleweed Dispensary,Retail Marijuana Products Mfg,660 North Bryant Street,Denver,80204,2025-05-01
404R-00568,GREEN LIGHT AGRITECH LLC ,None,Retail Marijuana Products Mfg,601 Dunn Deal Drive,Moffat,81143,2025-05-01
404R-00349,GREEN STREET DISPENSARY LLC,The Greenery Hash Factory,Retail Marijuana Products Mfg,"29420 Highway 160 East, Unit C",Durango,81303,2025-05-01
404R-00481,GREEN STREET LLC,None,Retail Marijuana Products Mfg,20319 Tamarack Lane,Ordway,81063,2025-05-01
404R-00403,GT INFUSIONS LLC,Green Treets,Retail Marijuana Products Mfg,"6859 North Foothills Highway, Unit E-200",Boulder,80302,2025-05-01
404R-00192,GUARANTEED GREEN LTD,Olio,Retail Marijuana Products Mfg,"462 Laredo Street, Unit C",Aurora,80011,2025-05-01
404R-00248,GUARANTEED GREEN LTD,Olio,Retail Marijuana Products Mfg,"4800 North Oakland Street, Unit 3",Denver,80239,2025-05-01
404R-00537,HAPPY PLANT EXTRACTS LLC,None,Retail Marijuana Products Mfg,3610 County Road 58,Center,81125,2025-05-01
404R-00066,HARVEST OF COLORADO LLC,Harvest of Colorado,Retail Marijuana Products Mfg,"5231 North Monroe Street, Unit 100",Denver,80216,2025-05-01
404R-00084,HEARTLAND INDUSTRIES LLC,None,Retail Marijuana Products Mfg,9000 South Interstate 25,Colorado City,81019,2025-05-01
404R-00424,HERBAL GARDEN EXTRACT LLC,None,Retail Marijuana Products Mfg,302 Lamkin Street,Pueblo,81003,2025-05-01
404R-00299,HIGH COUNTRY MANAGEMENT GROUP LLC,High Country Cones,Retail Marijuana Products Mfg,678 North Bryant Street,Denver,80204,2025-05-01
404R-00163,HWMF LLC,Rockin Extracts,Retail Marijuana Products Mfg,"77 North Laser Drive, Suite D",Pueblo West,81007,2025-05-01
404R-00525,IGADI LTD,IGADI,Retail Marijuana Products Mfg,"92 East 1st Street, Unit B",Nederland,80466,2025-05-01
404R-00489,IN HOUSE LLC,None,Retail Marijuana Products Mfg,735 West Bayaud Avenue,Denver,80223,2025-05-01
404R-00464,INDICO COLORADO INC,None,Retail Marijuana Products Mfg,20637 Highway 96,Sugar City,81076,2025-05-01
404R-00452,INFINITE EXTRACTIONS LLC,None,Retail Marijuana Products Mfg,7900 Lane 20,Ordway,81063,2025-05-01
404R-00128,INFINITE INFUSIONS LLC,Infinite Infusions,Retail Marijuana Products Mfg,412 South McCulloch Boulevard Unit F & G,Pueblo West,81007,2025-05-01
404R-00003,INFUZIONZ LLC,NectarBee,Retail Marijuana Products Mfg,4410 North Washington Street,Denver,80216,2025-05-01
404R-00358,ISM2 INC,Green Dot Labs,Retail Marijuana Products Mfg,"7077 Winchester Circle, Units C and D",Boulder,80301,2025-05-01
404R-00569,ISO99 LLC,None,Retail Marijuana Products Mfg,3710 Freedom Road,Trinidad,81082,2025-05-01
404R-00513,J&C CORP,Juicy Concentrates,Retail Marijuana Products Mfg,74 North Fabrication Drive ,Pueblo West,81007,2025-05-01
404R-00326,J&P INVESTMENTS LLC,Newt Brothers Artisanal,Retail Marijuana Products Mfg,3850 East 48th Avenue,Denver,80216,2025-05-01
404R-00216,JET BLACK ENTERPRISES LLC,Leiffa,Retail Marijuana Products Mfg,12022 East 38th Avenue,Denver,80239,2025-05-01
404R-00114,JKC MANUFACTURING LLC,Stratos,Retail Marijuana Products Mfg,73 North Research Drive ,Pueblo West,81007,2025-05-01
404R-00482,JOE CAL ENTERPRISES INC,Pagosa Craft,Retail Marijuana Products Mfg,127 Goldmine Drive,Pagosa Springs,81147,2025-05-01
404R-00337,JOLET VENTURES LLC,710 Labs,Retail Marijuana Products Mfg,10975 East 47th Avenue,Denver,80239,2025-05-01
404R-00471,JP LABS II LLC,Robhots Edibles,Retail Marijuana Products Mfg,"37 North Silicon Drive, Unit A",Pueblo West,81007,2025-05-01
404R-00546,K&P ENTERPRISE LLC,Atomic Concentrates,Retail Marijuana Products Mfg,3601 Freedom Road,Trinidad,81082,2025-05-01
