License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403R-00349,MORTON CAPITAL LLC,Artsy Colorado,Retail Marijuana Cultivation Facility,482 Laredo Street Units A-O,Aurora,80011,2025-05-01
403R-00779,MOUNTAIN ANNIES LLC,None,Retail Marijuana Cultivation Facility,33380 Highway 550,Montrose,81403,2025-05-01
403R-00546,"MOUNTAIN HIGH 14,047 LLC",None,Retail Marijuana Cultivation Facility,22057 County Road K.5,San Pablo,81152,2025-05-01
403R-01351,MOUNTAIN MANAGERS III LLC,edun,Retail Marijuana Cultivation Facility,"111 Diamond Loop, Unit B",Parachute,81635,2025-05-01
403R-00975,MOUNTAIN MANAGERS LLC,edun,Retail Marijuana Cultivation Facility,100 Diamond Loop,Parachute,81635,2025-05-01
403R-01289,MR PARACHUTE LLC,None,Retail Marijuana Cultivation Facility,0929 G County Road 215,Parachute,81635,2025-05-01
403R-01215,MRCC TRINIDAD LLC,Sugarloaf Dispensary,Retail Marijuana Cultivation Facility,9050 A County Lane 20,Ordway,81063,2025-05-01
403R-01298,MRW COLORADO LLC,None,Retail Marijuana Cultivation Facility,0929 F County Road 215,Parachute,81635,2025-05-01
403R-00282,MS LAFAYETTE LLC,Meraki Cannabis,Retail Marijuana Cultivation Facility,"1224 Commerce Court, Units 2-7",Lafayette,80026,2025-05-01
403R-01248,MSC EXTRACTS LLC,Mountain Select,Retail Marijuana Cultivation Facility,"472 Laredo Street, Unit L,M,N,O",Aurora,80011,2025-05-01
403R-01374,NATIONAL GREEN SOURCE LLC,The Green Source,Retail Marijuana Cultivation Facility,1900 South Freeway,Pueblo,81004,2025-05-01
403R-00198,NATTY REMS LLC,Natty Rems,Retail Marijuana Cultivation Facility,4675 North Kingston Street,Denver,80239,2025-05-01
403R-00568,NATURAL ALTERNATIVES FOR HEALTH CORP,None,Retail Marijuana Cultivation Facility,"1420 Blue Spruce Drive, Unit G&H",Fort Collins,80524,2025-05-01
403R-01173,NATURAL ALTERNATIVES FOR HEALTH CORP,None,Retail Marijuana Cultivation Facility,5720 Bueno Drive,Fort Collins,80525,2025-05-01
403R-01450,NATURE MED INC,None,Retail Marijuana Cultivation Facility,8114 White Moon Lane,Ordway,81063,2025-05-01
403R-00066,NATURES HERBS & WELLNESS CENTER,Natures Herbs & Wellness Center,Retail Marijuana Cultivation Facility,540 27th Street,Garden City,80631,2025-05-01
403R-00634,NATURES HERBS & WELLNESS CENTER II LLC,None,Retail Marijuana Cultivation Facility,17224 North Frontage Road,Log Lane Village,80705,2025-05-01
403R-01156,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,Nature's Kiss,Retail Marijuana Cultivation Facility,4332 South Broadway,Englewood,80113,2025-05-01
403R-00073,NAVAJO MANAGEMENT LLC,Locol Love,Retail Marijuana Cultivation Facility,875 North Navajo Street,Denver,80204,2025-05-01
403R-00197,NEW WORLD ALTERNATIVE HEALTHCARE LLC,Telluride Bud Company,Retail Marijuana Cultivation Facility,135 South Spruce Street,Telluride,81435,2025-05-01
403R-01413,NEWCO LLC,None,Retail Marijuana Cultivation Facility,50962 County Road U,Saguache,81149,2025-05-01
403R-01414,NEWCO LLC,None,Retail Marijuana Cultivation Facility,51228 County Road U,Saguache,81149,2025-05-01
403R-01415,NEWCO LLC,None,Retail Marijuana Cultivation Facility,51230 County Road U,Saguache,81149,2025-05-01
403R-01416,NEWCO LLC,None,Retail Marijuana Cultivation Facility,51232 County Road U,Saguache,81149,2025-05-01
403R-01417,NEWCO LLC,None,Retail Marijuana Cultivation Facility,51234 County Road U,Saguache,81149,2025-05-01
403R-01418,NEWCO LLC,None,Retail Marijuana Cultivation Facility,51236 County Road U,Saguache,81149,2025-05-01
403R-01419,NEWCO LLC,None,Retail Marijuana Cultivation Facility,51238 County Road U,Saguache,81149,2025-05-01
403R-01412,NEWCO LLC ,None,Retail Marijuana Cultivation Facility,50960 County Road U,Saguache,81149,2025-05-01
403R-01393,NEWCO PARTNERS LLC,None,Retail Marijuana Cultivation Facility,51206 County Road U,Saguache,81149,2025-05-01
403R-01394,NEWCO PARTNERS LLC,None,Retail Marijuana Cultivation Facility,51240 County Road U,Saguache,81149,2025-05-01
403R-01395,NEWCO PARTNERS LLC,None,Retail Marijuana Cultivation Facility,51242 County Road U,Saguache,81149,2025-05-01
403R-01396,NEWCO PARTNERS LLC,None,Retail Marijuana Cultivation Facility,51244 County Road U,Saguache,81149,2025-05-01
403R-01185,NEWPORT PIER OPERATIONS INC,None,Retail Marijuana Cultivation Facility,56260 County Road AA,Moffat,81143,2025-05-01
403R-00713,NEXT1 LABS LLC,Next1 Labs,Retail Marijuana Cultivation Facility,1660 Siloam Road,Pueblo,81005,2025-05-01
403R-01291,NKHAT LLC,Frost Harvest,Retail Marijuana Cultivation Facility,801 West Bayaud Avenue,Denver,80223,2025-05-01
403R-01390,NO REGERTS GARDENS LLC,None,Retail Marijuana Cultivation Facility,696 Mayor Patricia Reigel Boulevard,Moffat,81143,2025-05-01
403R-00566,NOBO DENVER LLC,None,Retail Marijuana Cultivation Facility,6995 Imboden Road,Watkins,80137,2025-05-01
403R-01065,NOCO CRAFT PRODUCTS LLC,Nokhu Labs,Retail Marijuana Cultivation Facility,5608 South College Avenue ,Fort Collins,80525,2025-05-01
403R-01387,NOCO FARM LLC,Snaxland,Retail Marijuana Cultivation Facility,1118 Ash Street,Nunn,80648,2025-05-01
403R-00844,NOMADIC LLC,Lazercat; Royal Jelly,Retail Marijuana Cultivation Facility,8620 Colorado 103,Idaho Springs,80452,2025-05-01
403R-00083,NS BRECK LIMITED,Northern Standard,Retail Marijuana Cultivation Facility,"1795 Airport Road, Unit A-2",Breckenridge,80424,2025-05-01
403R-00716,NUGRO INDUSTRIES INC,None,Retail Marijuana Cultivation Facility,2340 Bennett Road,Rye,81069,2025-05-01
403R-01344,NUGZ 719 LLC,None,Retail Marijuana Cultivation Facility,20220 Sherman Lane,Ordway,81063,2025-05-01
403R-00867,NUHI LLC,Doobz,Retail Marijuana Cultivation Facility,658 North Kalamath Street,Denver,80204,2025-05-01
403R-00025,NUTRITIONAL ELEMENTS LLC,The Health Center,Retail Marijuana Cultivation Facility,4800 North Nome Street,Denver,80239,2025-05-01
403R-00530,NUVUE PHARMA LLC,None,Retail Marijuana Cultivation Facility,4740 Dillon Drive,Pueblo,81008,2025-05-01
403R-00757,OHANA MAUNA GARDENS LLC,Ohana Mauna Gardens LLC,Retail Marijuana Cultivation Facility,2387 Little Burnt Mill Road,Pueblo,81005,2025-05-01
403R-00615,OIL WELL INDUSTRIES LLC,The Oil Well,Retail Marijuana Cultivation Facility,157 East Industrial Boulevard,Pueblo West,81007,2025-05-01
