Business Name,License Type,City,County,Sales Last Month,Period
Emerald Twist,Tier None Producer & Processor,Goldendale,"Klickitat county, WA","$36,287",Dec 2022
Molecule,Retailer,Davenport,"Lincoln county, WA","$35,100",Dec 2022
Sea Change Cannabis,Retailer,Port Hadlock,"Jefferson county, WA","$35,031",Dec 2022
Kudu Pharms,Tier 2 Producer & Processor,Spokane Valley,"Spokane county, WA","$34,955",Dec 2022
The Happy Crowd,Tier 3 Producer & Processor,Cheney,"Spokane county, WA","$34,941",Dec 2022
Wawd,Tier 1 Producer & Processor,Gold Bar,"Snohomish county, WA","$34,662",Dec 2022
Pacific Land And Cattle,Tier 2 Producer & Processor,Lyle,"Klickitat county, WA","$34,646",Dec 2022
Dlh Ranch,Tier 1 Producer & Processor,Springdale,"Stevens county, WA","$34,409",Dec 2022
Green Brothers Farms,Processor,Tenino,"Thurston county, WA","$34,403",Dec 2022
NW Nectar,Tier None Producer & Processor,Kettle Falls,"Stevens county, WA","$34,019",Dec 2022
Ladyhelm Farm,Tier 3 Producer & Processor,Omak,"Okanogan county, WA","$33,812",Dec 2022
Hazy Daze,Tier 2 Producer & Processor,Belfair,"Mason county, WA","$33,080",Dec 2022
Ayra,Tier 2 Producer & Processor,Seattle,"King county, WA","$33,014",Dec 2022
Mjs Pot Shop,Retailer,Pullman,"Whitman county, WA","$32,122",Dec 2022
B Street Bud,Retailer,Grand Coulee,"Grant county, WA","$31,036",Dec 2022
The Sage Shop,Retailer,Oroville,"Okanogan county, WA","$30,879",Dec 2022
Washington Tower Farm,Tier 2 Producer & Processor,Hoquiam,"Grays Harbor county, WA","$30,646",Dec 2022
Sweet Releaf,Retailer,Mount Vernon,"Skagit county, WA","$30,359",Dec 2022
Jv Ranch,Tier 3 Producer & Processor,Goldendale,"Klickitat county, WA","$30,234",Dec 2022
Kb Cannabis,Tier 2 Producer & Processor,Seattle,"King county, WA","$30,143",Dec 2022
South Bellingham Buds,Retailer,Bellingham,"Whatcom county, WA","$29,847",Dec 2022
Its a Plants Life,Tier 2 Producer & Processor,Sultan,"Snohomish county, WA","$29,581",Dec 2022
Techbud,Processor,Brewster,"Okanogan county, WA","$29,112",Dec 2022
Green Bluff Orchards,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$29,087",Dec 2022
Fortune Star Holdings,Tier None Producer & Processor,Port Angeles,"Clallam county, WA","$28,883",Dec 2022
Clandestine Consulting,Tier 2 Producer & Processor,Acme,"Whatcom county, WA","$28,825",Dec 2022
Laughing Buddha Farms,Tier 2 Producer & Processor,Gold Bar,"Snohomish county, WA","$28,815",Dec 2022
Advanced Agriculture,Tier None Producer & Processor,Othello,"Adams county, WA","$28,564",Dec 2022
Jacks Cure,Tier None Producer & Processor,Brewster,"Douglas county, WA","$28,420",Dec 2022
Rock Island Farm,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$28,037",Dec 2022
Goodies,Tier None Producer & Processor,Everett,"Snohomish county, WA","$27,818",Dec 2022
Green Haven,Tier None Producer & Processor,Darrington,"Snohomish county, WA","$27,752",Dec 2022
Evergreen Herbal,Tier None Producer & Processor,Seattle,"King county, WA","$27,720",Dec 2022
Golden Ace Harvest,Tier 2 Producer & Processor,Anacortes,"Skagit county, WA","$27,623",Dec 2022
Quincy Green,Tier None Producer & Processor,Quincy,"Grant county, WA","$27,604",Dec 2022
Emerald Peaks,Processor,Seattle,"King county, WA","$27,591",Dec 2022
Dna Gardens,Tier 2 Producer & Processor,Granite Falls,"Snohomish county, WA","$26,637",Dec 2022
Discovery Bay Cannabis,Retailer,Port Townsend,"Jefferson county, WA","$26,403",Dec 2022
Playa Grande,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$26,114",Dec 2022
Calyx And Trichome Creations,Tier 2 Producer & Processor,Seattle,"King county, WA","$26,050",Dec 2022
Freedom Farms,Tier None Producer & Processor,Spokane Valley,"Spokane county, WA","$25,951",Dec 2022
Apex Cannabis,Tier None Producer & Processor,Oak Harbor,"Island county, WA","$25,937",Dec 2022
Golden Tree,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$25,826",Dec 2022
Jamestown Sklallam Compact,Retailer,Sequim,"Null county, WA","$25,538",Dec 2022
Eagle Trees Farm,Tier None Producer & Processor,Deming,"Whatcom county, WA","$25,338",Dec 2022
Terp Cannabis,Retailer,Nine Mile Falls,"Stevens county, WA","$25,304",Dec 2022
Rain City Gardens,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$25,267",Dec 2022
Northwest Grown Products,Tier 2 Producer & Processor,Mount Vernon,"Skagit county, WA","$25,028",Dec 2022
Leganjafairy,Tier 3 Producer & Processor,Spokane Valley,"Spokane county, WA","$24,851",Dec 2022
Seattle Pure Extracts,Tier None Producer & Processor,Seattle,"King county, WA","$24,806",Dec 2022
Pacific NW Cultivation,Tier None Producer & Processor,Vancouver,"Clark county, WA","$24,750",Dec 2022
Three Rivers Cannabis,Tier 2 Producer & Processor,Kennewick,"Benton county, WA","$24,394",Dec 2022
Tacoma Greens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$24,183",Dec 2022
The Werc Shop WA,Processor,Seattle,"King county, WA","$24,134",Dec 2022
Molecular Genetics Research Associates,Tier 1 Producer & Processor,Tacoma,"Pierce county, WA","$23,948",Dec 2022
